,Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population
0,57 Franklin St,Food Express Inc,Bergen,B,0.0,216633.8863,4.0,4.0,21,44511002,0,0.0,252500,"1,500 - 2,499",25,85629.45455,942512.0545
1,134 Vreeland Ave,George Pandel Grocery,Bergen,C+,-0.25,86734.30601,340.0,4.1,6,44511003,0,-0.16,252500,"1,500 - 2,499",29,71679.0,920203.0
2,29 W Main St,J & A Food Market,Union,C+,-0.25,67995.60369,20.0,4.4,50,44511003,0,-0.16,240500,"1,500 - 2,499",25,56129.0,546237.0
3,664 S Main St,Hoser Farm,Warren,C,0.0,28694.48238,20.0,4.4,4,44511003,0,0.12,235000,"1,500 - 2,499",3,47609.0,106903.0
4,187 Parker Ave,Abel Mini Market,Passaic,C+,-0.25,66676.2197,20.0,4.4,250,44511003,0,-0.16,208000,"1,500 - 2,499",29,43383.0,504006.0
5,18 Jagged Rock Rd,Market Safety Research,Morris,C+,0.0,107678.48800000001,20.0,4.4,60,44511003,0,0.12,264500,"1 - 1,499",13,80805.0,496114.0
6,325 Princeton Hightstown Rd,Yash Auto Svc,Mercer,C,0.0,74981.04187999999,9.0,4.4,7,44719005,0,0.0,1229500,"1 - 1,499",4,69383.27273,370297.8364
7,14 Blue Devil Ln,Deutsch Enterprises,Mercer,B,0.0,164691.075,20.0,4.4,30,44511003,0,0.12,234600,"1,500 - 2,499",13,58083.0,369517.0
8,401 Hamburg Tpke # 210,Metropolitan Food Systems,Passaic,B,1.0,100014.3295,20.0,4.4,56,44511002,0,1.25,207667,"1 - 1,499",12,43383.0,504006.0
9,6 Casson Ln,Optimal Trip,Passaic,C+,0.0,66676.2197,20.0,4.4,35,44512001,0,0.24,208000,"1 - 1,499",17,43383.0,504006.0
10,333 Grand St,Punto Fijo Deli & Grocery Inc,Passaic,C,0.0,33338.10985,20.0,4.4,37,72251117,0,-0.72,55000,"1 - 1,499",18,43383.0,504006.0
11,326 US Highway 46,Himi Inc,Morris,C+,0.0,161517.7319,20.0,4.4,2,44719005,0,0.49,1259000,"1 - 1,499",8,80805.0,496114.0
12,5208 Palisade Ave,Mar Brothers,Hudson,C+,2.75,79752.99591,20.0,4.4,149,44511003,0,3.22,230500,"1,500 - 2,499",59,49075.0,657217.0
13,650 Franklin Blvd,Franklin Food Mart,Somerset,B,0.0,269215.4097,1.0,1.0,81,44719005,0,0.0,1131167,"1 - 1,499",10,88350.0,329678.0
14,365 New Brunswick Ave,7-Eleven,Middlesex,B,0.0,268640.6598,9.0,1.8,98,44512001,0,0.0,229000,"2,500 - 4,999",12,54971.0,825867.0
15,808 Stuyvesant Ave,Herrera Mini Market,Mercer,B,0.67,108331.4043,20.0,4.4,50,44511003,0,0.67,234667,"1,500 - 2,499",6,63470.0,368352.0
16,67 Franklin St # 14,Marina's Food Store,Essex,C,0.0,31595.76425,4.0,4.0,78,44511003,0,0.0,243000,"1 - 1,499",25,60836.0,790508.0
17,3151 State Route 27 # A,Great Wall Supermarket,Somerset,C+,0.0,99689.01995,7.0,4.1,13,44511003,0,0.0,229500,"2,500 - 4,999",0,104293.2182,333893.1455
18,115 Stryker Ln # 4,Sultan Foods Inc,Somerset,C+,0.0,86875.54447000001,20.0,4.4,24,44511002,0,7.12,229500,"1,500 - 2,499",3,83433.0,329342.0
19,5106 Bergenline Ave,Annie's Quick Stop LLC,Hudson,C+,0.0,97177.64201,1.0,1.0,149,44512001,0,0.0,230500,"1,500 - 2,499",59,65296.05455,685991.5091
20,329 2nd Ave W,KNJ Mini Mart,Essex,C+,0.0,63191.52849,1.0,5.0,108,44512001,0,0.0,243000,"1,500 - 2,499",17,60836.0,790508.0
21,486 State Route 57 W,Sun Food Mart,Warren,C+,0.0,153212.5828,4.0,4.0,23,72251117,0,0.0,53400,"1,500 - 2,499",1,51010.0,106748.0
22,170 Market St,"Rodriguez, Victor",Passaic,C,-0.33,74360.09104,20.0,4.4,250,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770.0,503853.0
23,200 Mounts Corner Dr,Top Tomato,Monmouth,C+,0.0,106978.2354,11.0,3.2,86,44511003,0,0.0,229000,"1 - 1,499",10,70610.0,624320.0
24,1105 Main St,Tapia Grocery,Passaic,C+,0.0,79662.6647,1.0,2.0,65,44511003,0,0.0,208000,"1,500 - 2,499",24,51091.4,506323.1818
25,104 S Main St,Blitzs Market,Cape May,C,1.5,65099.97512999999,20.0,4.4,18,44511003,0,1.5,408500,"1,500 - 2,499",2,55995.0,93679.0
26,91 Quincy Ave,Food Associates Co,Hudson,B,-0.25,125481.2438,20.0,4.4,47,44511002,0,-0.25,230667,"1,500 - 2,499",20,58466.0,668928.0
27,1505 Summit Ave # A,"Ethan, Melissa",Hudson,C,-0.33,83654.16252,2.0,3.5,210,44511003,0,-0.33,230500,"1,500 - 2,499",55,58466.0,668928.0
28,5900 Hudson Ave,Camila's Deli Grocery,Hudson,C+,-0.33,83654.16252,2.0,4.0,149,44511003,0,-0.33,230500,"1,500 - 2,499",59,58466.0,668928.0
29,206 Lakeview Ave,Clifton Food Mart,Passaic,C+,-0.33,74360.09104,20.0,4.4,77,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770.0,503853.0
30,54 Florence Ave,D & S Grocery,Essex,C+,-0.33,66893.91315,20.0,4.4,220,44511003,0,-0.33,243000,"1 - 1,499",26,62253.0,792617.0
31,87 Fabyan Pl,Fabyan Place Grocery LLC,Essex,C+,-0.33,66893.91315,20.0,4.4,80,44511003,0,-0.33,243000,"1,500 - 2,499",24,62253.0,792617.0
32,1075 Grove St,Feliz Suriel Grocery,Essex,C+,-0.33,66893.91315,1.0,3.0,220,44511003,0,-0.33,243000,"1,500 - 2,499",26,62253.0,792617.0
